iter	Passed	Remaining
1269	42787	7748
1270	42820	7715
1271	42853	7681
1272	42886	7647
1273	42917	7613
1274	42951	7579
1275	42984	7545
1276	43017	7512
1277	43050	7478
1278	43085	7444
1279	43117	7410
1280	43155	7377
1281	43187	7343
1282	43219	7309
1283	43252	7276
1284	43285	7242
1285	43318	7208
1286	43350	7174
1287	43383	7140
1288	43416	7106
1289	43448	7073
1290	43481	7039
1291	43515	7005
1292	43549	6971
1293	43582	6938
1294	43614	6904
1295	43647	6870
1296	43680	6836
1297	43711	6802
1298	43746	6769
1299	43779	6735
1300	43812	6701
1301	43844	6667
1302	43877	6633
1303	43910	6600
1304	43942	6566
1305	43975	6532
1306	44008	6498
1307	44040	6464
1308	44074	6431
1309	44106	6397
1310	44139	6363
1311	44173	6329
1312	44207	6296
1313	44239	6262
1314	44274	6228
1315	44308	6195
1316	44341	6161
1317	44375	6127
1318	44407	6093
1319	44440	6060
1320	44475	6026
1321	44509	5992
1322	44547	5959
1323	44580	5926
1324	44612	5892
1325	44645	5858
1326	44683	5825
1327	44715	5791
1328	44748	5757
1329	44781	5723
1330	44813	5690
1331	44847	5656
1332	44880	5622
1333	44913	5588
1334	44949	5555
1335	44983	5521
1336	45015	5488
1337	45048	5454
1338	45081	5420
1339	45114	5386
1340	45148	5353
1341	45181	5319
1342	45213	5285
1343	45246	5251
1344	45280	5218
1345	45314	5184
1346	45346	5150
1347	45379	5116
1348	45413	5083
1349	45446	5049
1350	45481	5016
1351	45515	4982
1352	45547	4948
1353	45579	4914
1354	45612	4881
1355	45644	4847
1356	45678	4813
1357	45710	4779
1358	45744	4746
1359	45778	4712
1360	45811	4678
1361	45844	4645
1362	45876	4611
1363	45909	4577
1364	45942	4543
1365	45975	4510
1366	46007	4476
1367	46039	4442
1368	46073	4408
1369	46112	4375
1370	46144	4341
1371	46176	4308
1372	46208	4274
1373	46246	4240
1374	46278	4207
1375	46317	4173
1376	46352	4140
1377	46384	4106
1378	46417	4072
1379	46451	4039
1380	46489	4005
1381	46522	3972
1382	46555	3938
1383	46588	3904
1384	46622	3871
1385	46654	3837
1386	46686	3803
1387	46720	3769
1388	46752	3736
1389	46785	3702
1390	46817	3668
1391	46852	3635
1392	46886	3601
1393	46918	3567
1394	46953	3534
1395	46985	3500
1396	47017	3466
1397	47049	3432
1398	47095	3400
1399	47129	3366
1400	47162	3332
1401	47198	3299
1402	47231	3265
1403	47264	3231
1404	47296	3198
1405	47330	3164
1406	47363	3130
1407	47397	3096
1408	47429	3063
1409	47464	3029
1410	47498	2996
1411	47532	2962
1412	47565	2928
1413	47599	2895
1414	47633	2861
1415	47666	2827
1416	47698	2793
1417	47733	2760
1418	47766	2726
1419	47799	2692
1420	47832	2659
1421	47864	2625
1422	47897	2591
1423	47930	2558
1424	47965	2524
1425	47998	2490
1426	48032	2457
1427	48066	2423
1428	48099	2389
1429	48132	2356
1430	48166	2322
1431	48198	2288
1432	48230	2255
1433	48265	2221
1434	48297	2187
1435	48340	2154
1436	48373	2120
1437	48405	2087
1438	48445	2053
1439	48481	2020
1440	48514	1986
1441	48546	1952
1442	48579	1918
1443	48613	1885
1444	48651	1851
1445	48685	1818
1446	48719	1784
1447	48752	1750
1448	48784	1717
1449	48817	1683
1450	48852	1649
1451	48885	1616
1452	48919	1582
1453	48954	1548
1454	48989	1515
1455	49022	1481
1456	49054	1447
1457	49089	1414
1458	49121	1380
1459	49153	1346
1460	49187	1313
1461	49220	1279
1462	49254	1245
1463	49286	1211
1464	49319	1178
1465	49352	1144
1466	49384	1110
1467	49419	1077
1468	49451	1043
1469	49487	1009
1470	49521	976
